192.168.1.124, -, 15/09/2021, 23:16:13, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /, -
192.168.1.124, -, 15/09/2021, 23:16:15, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery/jquery.min.js, -
192.168.1.124, -, 15/09/2021, 23:16:15, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/login_bg.jpg, -
192.168.1.124, -, 15/09/2021, 23:16:15, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/favicon/favicon1.ico, -
192.168.1.124, -, 15/09/2021, 23:16:18, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2, -
192.168.1.124, -, 15/09/2021, 23:16:43, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/css/all.min.css, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/font/GSans.css, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/jAlert/jAlert.css, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/sb-admin-2.min.css, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/customcss.css, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery/jquery.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/bootstrap/js/bootstrap.bundle.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery-easing/jquery.easing.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/jquery.dataTables.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/dataTables.bootstrap4.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/sb-admin-2.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert-functions.min.js, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/login_bg.jpg, -
192.168.1.124, -, 15/09/2021, 23:17:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/favicon/favicon1.ico, -
192.168.1.124, -, 15/09/2021, 23:17:01, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2, -
192.168.1.124, -, 15/09/2021, 23:17:25, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /enrollment, -
192.168.1.124, -, 15/09/2021, 23:17:40, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /enrollment, -
192.168.1.124, -, 15/09/2021, 23:17:48, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /enrollment, -
192.168.1.124, -, 15/09/2021, 23:18:07, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /enrollment, -
